"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\toaster.jsx", "JavaScript", 32, 0, 0, 0, 4, 36
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\toolBar.jsx", "JavaScript", 23, 0, 0, 1, 5, 29
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\components\ui\use-toast.js", "JavaScript", 127, 0, 0, 3, 25, 155
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\constants\MOCK_DATA.json", "JSON", 0, 0, 100, 0, 0, 100
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\constants\comments.js", "JavaScript", 26, 0, 0, 0, 0, 26
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\context\ThemeProvider.jsx", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\context\UserSession.jsx", "JavaScript", 6, 0, 0, 0, 3, 9
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\lib\utils.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\middleware.js", "JavaScript", 9, 0, 0, 0, 4, 13
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\state\StateLoader.jsx", "JavaScript", 17, 0, 0, 0, 6, 23
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\state\projects\SelectedProject.js", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\styles\animations.css", "CSS", 0, 22, 0, 0, 3, 25
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\styles\fonts.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\styles\globals.css", "CSS", 0, 93, 0, 0, 38, 131
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\BigBlob.jsx", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\Blob.jsx", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\BlobWorkspaceLg.jsx", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\BlobWorkspaceMd.jsx", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\BlobWorkspaceSm.jsx", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\NavBarBlob.jsx", "JavaScript", 18, 0, 0, 0, 1, 19
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\NavBarBlob2.jsx", "JavaScript", 31, 0, 0, 0, 1, 32
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\Plant.jsx", "JavaScript", 36, 0, 0, 0, 1, 37
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\svgs\SvgHombreLaptop.jsx", "JavaScript", 450, 0, 0, 0, 1, 451
"c:\Users\USUARIO\Code\1-NO COUNTRY\RemoteFrontEnd\c15-30-ft-java-react\FrontEnd\src\utils\localeStorage.js", "JavaScript", 14, 0, 0, 0, 1, 15
"Total", "-", 4877, 115, 100, 500, 539, 6131
